nautilus:	nautili	nautiluses
nebula:	nebulae	nebulas
neckerchief:	neckerchiefs	neckerchieves
necropolis:	necropoleis	necropoles	necropoli	necropolises
neocortex:	neocortexes	neocortices
nephritis:	nephritides	nephritises
neuritis:	neuritides	neuritises
newsperson:	newspeople	newspersons
nexus:	nexus	nexuses
nickel:	nickeled	nickelled
nickel:	nickeling	nickelling
nimbus:	nimbi	nimbuses
nisei:	nisei	niseis
no:	noes	nos
nonequilibrium:	nonequilibria	nonequilibriums
nonplus:	nonplused	nonplussed
nonplus:	nonpluses	nonplusses
nonplus:	nonplusing	nonplussing
nosedive:	nosedived	nosedove
nova:	novae	novas
novella:	novellas	novelle
novena:	novenae	novenas
nucleus:	nuclei	nucleuses
oak:	oak	oaks
obbligato:	obbligati	obbligatos
obi:	obi	obis
obo:	oboes	obos
octopus:	octopi	octopuses
offspring:	offspring	offsprings
old:	elder	older
old:	eldest	oldest
omnibus:	omnibuses	omnibusses
optimum:	optima	optimums
opus:	opera	opuses
outburn:	outburned	outburnt
outcavil:	outcaviled	outcavilled
outcavil:	outcaviling	outcavilling
outchide:	outchid	outchidden	outchided
outdream:	outdreamed	outdreamt
outdrink:	outdrank	outdrunk
outduel:	outdueled	outduelled
outduel:	outdueling	outduelling
outgas:	outgases	outgasses
outgnaw:	outgnawed	outgnawn
outleap:	outleaped	outleapt
outlearn:	outlearned	outlearnt
output:	output	outputted
outrival:	outrivaled	outrivalled
outrival:	outrivaling	outrivalling
outshine:	outshined	outshone
outsmell:	outsmelled	outsmelt
outspeed:	outsped	outspeeded
outspell:	outspelled	outspelt
outstrip:	outstripped	outstript
outwrite:	outwrit	outwritten
overbeat:	overbeat	overbeaten
overburn:	overburned	overburnt
overdrink:	overdrank	overdrunk
overeye:	overeyeing	overeying
overfocus:	overfocused	overfocussed
overfocus:	overfocuses	overfocusses
overfocus:	overfocusing	overfocussing
overget:	overgot	overgotten
overgild:	overgilded	overgilt
overgird:	overgirded	overgirt
overlade:	overladed	overladen
overleap:	overleaped	overleapt	overlept
overlight:	overlighted	overlit
overpass:	overpassed	overpast
overpedal:	overpedaled	overpedalled
overpedal:	overpedaling	overpedalling
overprogram:	overprogramed	overprogrammed
overprogram:	overprograming	overprogramming
overspill:	overspilled	overspilt
overstrew:	overstrewed	overstrewn
ox:	ox	oxen
oxymoron:	oxymora	oxymorons
pac:	paced	packed
pac:	pacing	packing
pailful:	pailfuls	pailsful
palebuck:	palebuck	palebucks
palmetto:	palmettoes	palmettos
panel:	paneled	panelled
panel:	paneling	panelling
panelling:	panelling	panellings
papyrus:	papyri	papyruses
para:	para	paras
parallel:	paralleled	parallelled
parallel:	paralleling	parallelling
paramecium:	paramecia	parameciums
parcel:	parceled	parcelled
parcel:	parceling	parcelling
passado:	passadoes	passados
patella:	patellae	patellas
patina:	patinae	patinas
pea:	peas	pease
peccadillo:	peccadilloes	peccadillos
pedal:	pedaled	pedalled
pedal:	pedaler	pedaller
pedal:	pedaling	pedalling
pedalo:	pedaloes	pedalos
pedestal:	pedestaled	pedestalled
pedestal:	pedestaling	pedestalling
pedrero:	pedreroes	pedreros
pelvis:	pelves	pelvises
pencil:	penciled	pencilled
pencil:	penciling	pencilling
pencilling:	pencilling	pencillings
penis:	penes	penises
penumbra:	penumbrae	penumbras
pericardium:	pericardia	pericardiums
pericranium:	pericrania	pericraniums
perihelion:	perihelia	perihelions
peril:	periled	perilled
peril:	periling	perilling
peritoneum:	peritonea	peritoneums
person:	people	persons
phallus:	phalli	phalluses
pharynx:	pharynges	pharynxes
pheasant:	pheasant	pheasants
phenomenon:	phenomena	phenomenons
philodendron:	philodendra	philodendrons
phlox:	phlox	phloxes
phosphorus:	phosphori	phosphoruses
pianissimo:	pianissimi	pianissimos
piazza:	piazzas	piazze
pikestaff:	pikestaffs	pikestaves
pingo:	pingoes	pingos
pinko:	pinkoes	pinkos
pinon:	pinones	pinons
pintado:	pintadoes	pintados
pinto:	pintoes	pintos
pistol:	pistoled	pistolled
pistol:	pistoling	pistolling
pizzicato:	pizzicati	pizzicatos
placebo:	placeboes	placebos
placenta:	placentae	placentas
planetarium:	planetaria	planetariums
plateau:	plateaus	plateaux
platy:	platies	platys
platypus:	platypi	platypus	platypuses
plead:	pleaded	pled
plectrum:	plectra	plectrums
